	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-00351	1	4	0	3	1	6
gRNA-No-00352	5	13	11	79	15	19
gRNA-No-00353	16	28	4	11	0	0
gRNA-No-00354	0	0	0	0	0	0
gRNA-No-00355	11	38	4	34	3	4
gRNA-No-00356	627	692	346	1530	569	456
gRNA-No-00357	18	11	0	0	0	0
gRNA-No-00358	15	12	2	6	6	38
gRNA-No-00359	49	43	16	40	29	19
gRNA-No-00360	95	148	41	181	132	96
gRNA-No-00361	212	291	65	430	123	160
gRNA-No-45798	47	36	0	5	7	8
gRNA-No-00365	0	1	0	0	0	0
gRNA-No-02272	22	48	4	46	2	7
gRNA-No-02274	111	156	87	401	195	184
gRNA-No-02275	24	36	2	17	43	39
gRNA-No-02277	4	0	0	1	0	2
gRNA-No-00370	0	0	0	0	6	9
gRNA-No-02280	12	7	4	12	14	2
gRNA-No-00372	29	29	13	101	6	1
gRNA-No-02291	11	13	1	12	11	6
gRNA-No-00374	96	111	12	74	65	65
gRNA-No-00375	6	3	0	4	1	1
gRNA-No-42747	0	0	0	0	0	1
gRNA-No-00376	27	54	44	267	61	52
gRNA-No-00377	0	2	0	0	20	4
gRNA-No-00378	326	460	146	741	235	226
gRNA-No-00379	58	124	70	291	72	78
gRNA-No-00380	3	10	7	29	10	25
gRNA-No-00381	13	5	7	34	14	9
gRNA-No-00382	0	1	0	0	0	0
gRNA-No-00383	6	18	7	77	6	19
gRNA-No-00384	93	154	106	596	82	130
gRNA-No-00386	0	0	0	0	0	0
gRNA-No-00388	0	0	0	0	1	5
gRNA-No-00389	16	51	40	87	55	31
gRNA-No-00391	11	21	43	156	4	2
gRNA-No-13159	0	0	5	14	22	21
gRNA-No-00393	183	472	122	688	228	239
gRNA-No-00394	7	25	2	5	5	30
gRNA-No-00395	0	0	0	0	0	0
gRNA-No-00396	6	17	0	26	3	5
gRNA-No-00397	49	55	12	64	36	33
gRNA-No-00398	1	5	0	0	0	0
gRNA-No-00399	418	689	268	1308	557	543
gRNA-No-00400	0	0	0	0	0	0
gRNA-No-02451	209	313	122	788	251	211
gRNA-No-00402	167	179	31	161	52	71
gRNA-No-00403	32	54	9	55	28	26
gRNA-No-00404	6	24	5	28	13	17
gRNA-No-00405	14	18	9	39	1	0
gRNA-No-00406	39	95	8	23	135	100
gRNA-No-00407	51	99	42	179	83	99
gRNA-No-02468	0	0	0	0	0	0
