	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-11838	19	20	3	75	7	5
gRNA-No-18495	0	0	0	0	0	0
gRNA-No-18496	0	0	0	0	0	0
gRNA-No-18497	0	1	0	0	0	2
gRNA-No-18498	41	48	54	220	108	46
gRNA-No-18499	69	137	9	120	34	35
gRNA-No-18500	54	138	16	106	62	41
gRNA-No-18501	136	154	36	175	171	149
gRNA-No-18502	0	0	8	32	0	0
gRNA-No-09599	9	8	6	36	3	0
gRNA-No-18504	27	72	40	280	74	67
gRNA-No-18505	0	0	0	0	0	0
gRNA-No-18506	33	48	66	245	97	60
gRNA-No-18507	0	1	0	0	0	0
gRNA-No-18509	31	37	14	13	26	24
gRNA-No-18510	0	0	0	0	0	0
gRNA-No-18512	0	0	0	0	0	0
gRNA-No-18514	0	0	0	0	0	0
gRNA-No-18515	20	32	33	212	95	78
gRNA-No-18516	65	62	23	112	53	33
gRNA-No-09622	7	3	12	45	43	12
gRNA-No-18518	18	25	26	105	46	48
gRNA-No-18519	102	171	60	296	144	156
gRNA-No-20099	0	0	0	0	0	0
gRNA-No-18522	132	207	95	389	165	150
gRNA-No-11840	4	5	0	7	0	5
gRNA-No-18524	0	0	0	1	3	17
gRNA-No-18525	3	16	3	33	9	37
gRNA-No-23274	19	39	9	53	4	7
gRNA-No-11842	0	1	0	1	0	0
gRNA-No-23289	102	139	30	199	61	73
gRNA-No-18529	78	100	50	321	70	67
gRNA-No-23319	86	110	35	215	69	79
gRNA-No-50524	0	0	0	0	4	9
gRNA-No-18532	17	98	9	157	12	68
gRNA-No-18533	1	9	1	4	0	2
gRNA-No-18534	167	212	113	857	209	230
gRNA-No-18535	6	5	20	113	8	17
gRNA-No-09726	5	0	5	11	21	12
gRNA-No-18537	1	1	0	1	0	0
gRNA-No-18538	48	73	8	57	16	9
gRNA-No-09739	28	21	3	13	15	10
gRNA-No-18540	16	11	25	124	3	2
gRNA-No-18541	49	64	21	118	77	41
gRNA-No-09746	175	215	78	315	124	131
gRNA-No-18543	144	183	43	222	159	138
gRNA-No-18544	0	0	0	0	0	0
gRNA-No-18545	5	10	0	5	6	13
gRNA-No-18546	90	122	31	200	148	110
gRNA-No-18547	165	153	98	613	197	129
gRNA-No-18548	22	74	9	22	20	34
gRNA-No-09823	215	259	110	402	138	108
gRNA-No-18550	99	90	36	298	68	54
gRNA-No-18552	281	237	126	684	257	205
gRNA-No-18553	89	133	27	173	83	78
gRNA-No-18554	67	31	0	7	0	0
gRNA-No-18555	82	88	95	295	89	72
gRNA-No-18556	47	60	17	108	17	21
gRNA-No-18557	2	94	1	105	1	29
gRNA-No-09842	87	97	43	260	91	98
gRNA-No-09844	84	89	67	345	131	88
gRNA-No-41062	43	48	23	158	75	76
gRNA-No-41079	101	124	51	235	64	59
gRNA-No-09856	111	228	127	506	216	179
gRNA-No-41106	27	43	17	52	26	41
gRNA-No-18564	0	0	0	12	0	0
gRNA-No-41132	27	71	9	85	55	50
gRNA-No-41144	81	63	10	60	52	44
gRNA-No-18567	64	88	40	198	32	25
gRNA-No-18568	235	262	115	450	282	211
gRNA-No-18569	73	162	24	128	83	89
gRNA-No-18570	0	0	0	0	0	0
gRNA-No-18573	33	28	0	1	19	7
gRNA-No-18574	3	7	34	104	26	16
gRNA-No-18575	43	73	14	70	40	46
gRNA-No-18576	93	118	43	159	77	59
gRNA-No-18578	117	161	43	208	145	143
gRNA-No-18579	8	18	0	0	0	0
gRNA-No-18580	67	103	104	503	58	42
gRNA-No-18582	12	21	42	180	38	47
gRNA-No-18585	55	112	52	176	100	67
gRNA-No-18586	279	363	173	1038	280	287
gRNA-No-18587	29	40	16	43	66	51
gRNA-No-18588	71	108	19	128	44	31
gRNA-No-18589	0	0	0	0	0	0
gRNA-No-18590	3	3	0	10	0	1
gRNA-No-18591	46	52	57	341	68	106
gRNA-No-18592	35	92	11	45	49	25
gRNA-No-18593	1	7	0	1	0	0
gRNA-No-18594	89	83	39	270	48	51
gRNA-No-18595	35	50	12	66	70	56
gRNA-No-18596	49	56	20	162	49	50
gRNA-No-18597	2	2	6	37	12	13
gRNA-No-18598	0	0	0	0	0	0
gRNA-No-10152	0	1	12	43	0	0
gRNA-No-18600	308	348	130	603	410	367
gRNA-No-18601	4	4	0	5	2	6
gRNA-No-10156	9	11	3	27	15	12
gRNA-No-18603	47	53	13	91	46	34
gRNA-No-18604	43	49	20	133	6	28
gRNA-No-18605	19	12	10	54	15	21
gRNA-No-18607	0	1	1	6	0	4
gRNA-No-18609	0	0	0	0	0	0
gRNA-No-18610	0	12	0	3	1	2
gRNA-No-18611	76	84	24	130	125	126
gRNA-No-18612	0	0	0	0	0	0
gRNA-No-18613	0	2	4	6	0	12
gRNA-No-18614	8	16	8	27	59	33
gRNA-No-18616	0	0	0	0	0	0
gRNA-No-18619	32	66	26	226	34	116
gRNA-No-18620	129	172	89	438	316	177
gRNA-No-10236	73	88	34	259	31	45
gRNA-No-18622	163	204	61	279	140	77
gRNA-No-18624	99	120	49	285	95	78
gRNA-No-10241	12	20	21	81	13	3
gRNA-No-10242	71	104	70	390	28	42
gRNA-No-18627	160	196	72	288	117	124
gRNA-No-18628	30	22	26	122	5	2
gRNA-No-18630	0	1	4	43	5	1
gRNA-No-18631	9	4	1	19	0	0
gRNA-No-18633	62	99	52	323	98	70
gRNA-No-18634	1	6	4	6	11	21
gRNA-No-18635	0	0	0	0	0	0
gRNA-No-49326	139	195	37	188	94	109
gRNA-No-18637	92	99	5	248	12	99
gRNA-No-18638	124	106	21	92	91	84
gRNA-No-07635	0	0	0	0	0	0
gRNA-No-18640	0	0	0	0	0	0
gRNA-No-18641	0	0	0	6	0	0
gRNA-No-03245	0	1	5	15	32	16
gRNA-No-18643	10	25	0	15	8	3
gRNA-No-18645	139	169	46	320	176	143
gRNA-No-18646	19	31	7	65	12	2
gRNA-No-18647	114	123	22	82	135	104
gRNA-No-18648	137	184	85	374	109	155
gRNA-No-18649	67	51	13	108	33	14
gRNA-No-18650	145	226	65	278	95	101
gRNA-No-18651	25	54	90	396	60	76
gRNA-No-18652	7	34	0	6	28	25
gRNA-No-18654	18	24	8	55	0	0
gRNA-No-18655	30	36	4	20	22	11
gRNA-No-18656	0	0	0	0	0	0
gRNA-No-18657	0	0	0	9	20	14
gRNA-No-18658	1014	1218	526	2499	1069	852
gRNA-No-18659	260	270	84	388	198	130
gRNA-No-18660	135	125	116	444	161	141
gRNA-No-18661	158	194	75	438	225	171
gRNA-No-18662	2	3	0	10	14	45
gRNA-No-18663	13	25	10	63	6	18
gRNA-No-18664	2	8	0	7	1	5
gRNA-No-18667	0	4	0	0	7	2
gRNA-No-18668	0	0	0	0	0	0
gRNA-No-18669	12	28	37	204	4	11
gRNA-No-18670	57	108	17	151	78	149
gRNA-No-18671	13	76	11	135	61	68
gRNA-No-18672	29	20	1	22	0	1
gRNA-No-18673	122	97	78	434	67	61
gRNA-No-18674	124	182	37	209	79	89
gRNA-No-30702	0	0	0	0	0	0
gRNA-No-41574	21	41	3	46	21	23
gRNA-No-38616	70	130	50	332	98	119
gRNA-No-18676	145	256	91	381	273	198
gRNA-No-18677	216	248	107	621	195	189
gRNA-No-18678	0	0	0	0	0	0
gRNA-No-18679	47	80	24	146	66	30
gRNA-No-18680	27	44	36	179	38	62
gRNA-No-18681	0	0	0	0	0	0
gRNA-No-18682	3	0	1	4	0	5
gRNA-No-18683	3	2	0	12	84	46
gRNA-No-18684	123	152	92	410	74	61
gRNA-No-18685	0	0	0	0	0	0
gRNA-No-18686	111	167	57	438	77	54
gRNA-No-18688	0	3	3	18	0	0
gRNA-No-18689	36	33	11	104	18	20
gRNA-No-10630	131	172	61	239	82	75
gRNA-No-18691	0	1	3	10	1	0
gRNA-No-18692	79	116	40	167	31	28
gRNA-No-18693	10	14	24	171	11	8
gRNA-No-18694	0	1	0	20	2	5
gRNA-No-18695	26	49	10	43	0	2
gRNA-No-19405	4	67	3	25	0	88
gRNA-No-18697	0	0	0	0	0	1
gRNA-No-18698	0	0	0	1	3	13
gRNA-No-18701	12	42	15	123	64	57
gRNA-No-18702	0	0	5	32	4	2
gRNA-No-18703	1	34	0	80	0	17
gRNA-No-18704	1	14	0	23	1	7
gRNA-No-18705	4	15	1	61	7	2
gRNA-No-18706	0	0	0	0	3	8
gRNA-No-18707	220	299	117	691	296	238
gRNA-No-18708	33	56	11	87	59	28
gRNA-No-18709	67	114	37	226	63	54
gRNA-No-18710	10	8	8	41	9	3
gRNA-No-18711	14	15	15	62	7	7
gRNA-No-10691	7	3	2	17	3	1
gRNA-No-18713	0	0	0	0	30	36
gRNA-No-10693	0	0	0	0	0	0
gRNA-No-18715	0	0	0	0	0	0
gRNA-No-18716	7	55	0	14	13	24
gRNA-No-47095	16	27	14	84	41	17
gRNA-No-18717	30	45	34	230	23	53
gRNA-No-41407	0	0	1	3	0	0
gRNA-No-18718	13	25	0	1	8	11
gRNA-No-09533	2	0	0	0	12	55
gRNA-No-10817	108	170	57	292	130	138
gRNA-No-10818	16	81	3	14	31	75
gRNA-No-18722	208	369	116	651	220	178
gRNA-No-18723	47	154	21	220	62	110
gRNA-No-10821	64	113	31	216	58	85
gRNA-No-10823	54	47	10	50	14	7
gRNA-No-18726	26	28	31	125	27	8
gRNA-No-41592	149	196	60	312	133	79
gRNA-No-18728	17	28	4	48	16	14
gRNA-No-35825	0	3	5	48	21	19
gRNA-No-18730	36	55	75	206	42	27
gRNA-No-18731	93	112	37	170	104	93
gRNA-No-35826	18	33	12	42	50	33
gRNA-No-18733	164	250	105	573	74	69
gRNA-No-18734	26	22	28	105	24	29
gRNA-No-18735	56	140	17	117	58	77
gRNA-No-18736	0	0	0	1	0	0
gRNA-No-18737	13	15	4	22	12	13
gRNA-No-18738	155	251	89	526	215	276
gRNA-No-18739	0	0	0	0	0	0
gRNA-No-18740	131	155	132	745	268	226
gRNA-No-49328	110	101	12	177	26	66
gRNA-No-18742	0	1	0	0	0	0
gRNA-No-18743	0	0	0	0	0	0
gRNA-No-18744	95	112	47	228	111	48
gRNA-No-18745	24	35	3	2	27	28
gRNA-No-18746	2	1	0	4	2	1
gRNA-No-18747	65	74	7	92	4	11
gRNA-No-18748	3	26	2	37	13	3
gRNA-No-18749	14	35	21	100	64	63
gRNA-No-18750	59	124	17	219	72	86
gRNA-No-18751	100	165	55	177	170	154
gRNA-No-18752	235	255	131	636	197	191
gRNA-No-18754	0	0	0	0	0	0
gRNA-No-18755	0	0	0	0	0	0
gRNA-No-18756	0	0	0	0	0	0
gRNA-No-18757	0	1	0	0	0	0
gRNA-No-20117	0	0	0	0	0	0
gRNA-No-27956	4	2	8	13	4	0
gRNA-No-18762	0	0	0	0	0	5
gRNA-No-18763	101	123	25	135	29	34
gRNA-No-18764	8	4	0	0	0	1
gRNA-No-18765	0	0	0	0	0	0
gRNA-No-18766	76	50	6	49	42	20
gRNA-No-18767	6	17	9	50	0	2
gRNA-No-18768	206	230	38	211	159	139
gRNA-No-18769	16	37	4	13	0	1
gRNA-No-51074	119	197	72	454	114	106
gRNA-No-18771	66	94	20	89	88	86
gRNA-No-18772	72	78	28	127	58	66
gRNA-No-18773	0	0	8	41	0	0
gRNA-No-18774	91	125	45	258	57	56
gRNA-No-18775	31	42	6	14	37	64
gRNA-No-18776	5	15	3	42	1	1
gRNA-No-18777	3	0	0	0	9	0
gRNA-No-18778	25	31	2	2	1	8
gRNA-No-18779	17	32	16	189	22	36
gRNA-No-18780	0	0	2	4	0	0
gRNA-No-18781	50	64	29	120	55	48
gRNA-No-18782	90	192	49	236	71	57
gRNA-No-18784	0	1	1	2	0	1
gRNA-No-18785	28	42	7	78	5	6
gRNA-No-11284	41	93	35	244	63	106
gRNA-No-18787	10	1	1	21	5	3
gRNA-No-18788	8	6	22	103	0	0
gRNA-No-18789	0	0	0	0	0	0
gRNA-No-18790	0	0	0	0	0	0
gRNA-No-18791	6	6	0	0	16	8
gRNA-No-18793	24	37	30	165	25	42
gRNA-No-18794	0	0	0	0	0	0
gRNA-No-18795	196	198	66	258	126	104
gRNA-No-18796	152	209	66	337	151	156
gRNA-No-18797	32	48	4	15	45	11
gRNA-No-18799	23	32	0	0	0	0
gRNA-No-18800	162	209	54	253	164	163
gRNA-No-18801	0	0	0	0	0	0
gRNA-No-18802	3	12	8	14	74	27
gRNA-No-10191	0	0	0	0	0	0
gRNA-No-18805	0	0	0	0	0	0
gRNA-No-18806	281	412	198	1015	246	243
gRNA-No-18807	296	346	148	825	216	148
gRNA-No-18810	8	20	13	54	62	68
gRNA-No-18811	44	79	55	340	29	29
gRNA-No-18813	0	1	0	0	0	0
gRNA-No-18814	6	21	0	0	1	2
gRNA-No-18815	0	0	1	16	24	29
gRNA-No-18817	49	48	20	98	86	97
gRNA-No-18818	212	270	94	453	186	171
gRNA-No-18819	124	116	19	92	140	71
gRNA-No-18820	127	96	2	186	1	14
gRNA-No-18821	38	63	18	122	13	15
gRNA-No-18826	35	37	48	206	97	70
gRNA-No-18827	0	0	0	0	0	0
gRNA-No-18828	203	258	152	543	318	215
gRNA-No-18829	0	0	0	0	15	11
gRNA-No-18830	118	171	61	341	237	209
gRNA-No-18831	37	33	11	81	36	39
gRNA-No-18832	126	201	52	235	61	59
gRNA-No-18833	140	123	104	513	133	181
gRNA-No-18834	26	81	10	87	69	17
gRNA-No-18835	2	6	17	120	16	10
gRNA-No-18836	62	87	35	129	49	56
gRNA-No-18840	1	58	1	111	2	41
gRNA-No-20392	18	173	9	234	12	79
gRNA-No-18842	22	60	8	19	18	36
gRNA-No-18843	1	12	1	23	9	17
gRNA-No-18844	3	46	0	108	1	26
gRNA-No-18845	1	57	0	71	3	52
gRNA-No-18846	3	9	0	3	0	54
gRNA-No-11753	0	0	0	2	0	2
gRNA-No-18848	4	17	0	0	0	2
gRNA-No-18849	0	0	0	0	0	1
gRNA-No-18850	162	295	133	578	202	120
gRNA-No-18851	88	48	11	54	15	9
gRNA-No-42002	0	0	0	0	0	0
gRNA-No-28777	32	22	17	121	55	35
gRNA-No-10822	0	6	1	3	1	10
gRNA-No-18856	0	0	0	0	0	0
gRNA-No-18857	38	95	16	70	59	33
gRNA-No-18858	68	109	11	73	45	72
gRNA-No-18859	98	164	36	323	63	70
gRNA-No-18860	0	0	0	0	0	0
gRNA-No-11848	15	15	17	126	8	24
gRNA-No-18862	28	47	6	37	25	17
gRNA-No-18863	3	3	1	1	0	0
gRNA-No-18864	41	39	31	238	62	60
gRNA-No-18865	0	0	0	0	0	0
gRNA-No-18866	0	0	0	0	0	0
gRNA-No-11891	0	0	0	0	0	0
gRNA-No-18873	0	0	0	0	0	0
gRNA-No-20265	12	18	3	32	4	4
gRNA-No-45847	104	71	61	349	257	250
gRNA-No-11896	92	108	77	407	85	64
gRNA-No-11897	91	252	51	364	179	171
gRNA-No-18878	190	251	45	266	81	96
gRNA-No-18879	14	20	33	170	28	52
gRNA-No-18880	32	54	24	104	41	39
gRNA-No-18881	84	129	7	49	81	74
gRNA-No-18882	101	124	32	215	44	34
gRNA-No-18883	12	21	0	16	10	5
gRNA-No-18884	13	15	15	139	0	0
gRNA-No-18885	0	0	0	0	0	0
gRNA-No-18886	0	0	0	0	0	0
gRNA-No-18887	423	582	207	985	306	321
gRNA-No-18888	0	0	0	0	0	0
gRNA-No-18890	7	10	17	34	12	46
gRNA-No-28793	127	182	71	402	122	193
gRNA-No-18894	0	0	0	0	0	0
gRNA-No-18895	207	285	79	471	157	79
gRNA-No-18896	51	58	42	283	88	59
gRNA-No-18897	407	417	54	628	262	309
gRNA-No-16355	9	4	1	28	3	0
gRNA-No-12128	261	449	107	1031	253	264
gRNA-No-18901	158	220	55	296	101	149
gRNA-No-12167	39	77	64	215	53	60
gRNA-No-18903	0	0	0	0	0	0
gRNA-No-18904	3	0	0	0	0	2
gRNA-No-18905	34	64	33	105	48	72
gRNA-No-18906	28	52	21	67	31	29
gRNA-No-18907	58	185	35	479	26	80
gRNA-No-33528	56	230	112	815	190	239
gRNA-No-20146	0	0	0	0	0	0
gRNA-No-18910	0	0	0	1	0	0
gRNA-No-04134	169	191	67	330	139	134
gRNA-No-45024	128	181	82	282	189	169
gRNA-No-18913	0	0	0	0	0	0
gRNA-No-18914	0	0	3	5	0	0
gRNA-No-12227	101	156	69	296	116	164
gRNA-No-18917	0	3	5	53	4	14
gRNA-No-12229	0	0	0	0	0	0
gRNA-No-18919	203	226	164	825	247	205
gRNA-No-18920	2	0	0	1	0	1
gRNA-No-12247	136	437	81	1275	60	272
gRNA-No-38532	0	0	0	0	0	0
gRNA-No-03300	0	1	0	0	0	0
gRNA-No-18924	40	26	6	18	0	0
gRNA-No-29700	52	81	13	69	34	26
gRNA-No-18926	5	5	2	1	12	17
gRNA-No-20157	0	0	0	0	1	0
gRNA-No-35112	0	18	0	18	1	21
gRNA-No-41588	27	11	12	57	14	12
gRNA-No-28817	44	49	73	310	99	129
gRNA-No-23998	0	6	6	15	1	5
gRNA-No-12599	12	36	16	91	15	13
gRNA-No-18933	0	0	0	1	1	0
gRNA-No-18934	105	98	21	72	25	17
gRNA-No-36836	5	14	12	45	23	22
gRNA-No-18936	16	9	0	1	3	9
gRNA-No-18937	7	8	7	21	4	13
gRNA-No-18938	5	17	8	63	41	24
gRNA-No-18939	20	21	14	90	14	13
gRNA-No-18940	0	0	0	0	0	0
gRNA-No-28497	69	63	8	74	3	2
gRNA-No-18943	78	136	37	287	123	141
gRNA-No-18944	0	0	0	0	0	0
gRNA-No-18945	9	17	18	76	14	20
gRNA-No-18946	2	6	1	0	3	14
gRNA-No-18947	488	537	253	1030	405	359
gRNA-No-18948	5	5	17	69	16	20
gRNA-No-18949	43	67	15	66	14	24
gRNA-No-18950	61	64	10	64	56	77
gRNA-No-18951	95	183	134	565	219	205
gRNA-No-18952	4	2	0	3	0	0
gRNA-No-18954	24	12	26	173	85	112
gRNA-No-18955	0	0	0	0	0	0
gRNA-No-18956	1	7	2	54	7	33
gRNA-No-18957	28	53	0	2	2	15
gRNA-No-18958	244	373	258	1169	461	367
gRNA-No-18959	28	21	20	146	21	20
gRNA-No-18960	0	0	0	0	0	0
gRNA-No-18961	6	12	4	47	1	4
gRNA-No-18962	59	66	29	178	10	13
gRNA-No-18963	61	122	61	385	104	114
gRNA-No-18964	14	8	1	4	16	17
gRNA-No-18966	36	38	16	25	58	47
gRNA-No-18967	24	68	24	170	7	14
gRNA-No-18968	0	0	0	0	0	0
gRNA-No-18969	1	1	5	20	33	17
gRNA-No-18971	1	5	1	10	6	6
gRNA-No-18972	0	0	0	0	0	0
gRNA-No-18973	75	89	43	152	54	41
gRNA-No-18974	0	0	0	1	0	0
gRNA-No-18975	26	57	5	38	57	34
gRNA-No-18976	50	64	23	148	51	32
gRNA-No-12780	70	94	20	202	70	60
gRNA-No-18978	0	3	0	9	0	0
gRNA-No-07445	6	16	13	97	11	17
gRNA-No-07459	51	55	7	111	19	11
gRNA-No-18981	57	128	33	131	110	83
gRNA-No-18982	49	58	22	237	31	90
gRNA-No-18983	89	61	24	161	61	29
gRNA-No-39252	4	23	0	9	4	5
gRNA-No-18985	7	14	7	64	7	7
gRNA-No-18986	4	3	0	0	7	10
gRNA-No-12805	41	23	5	17	0	2
gRNA-No-12806	91	101	5	23	12	8
gRNA-No-18989	71	69	30	135	228	176
gRNA-No-18990	191	320	99	943	268	287
gRNA-No-18991	7	22	5	36	2	18
gRNA-No-18992	60	66	14	103	28	22
gRNA-No-18993	0	0	0	0	3	4
gRNA-No-18994	0	0	0	0	0	0
gRNA-No-18995	184	265	34	116	89	77
gRNA-No-08878	0	0	0	0	0	0
gRNA-No-19000	50	104	36	228	88	76
gRNA-No-19001	13	9	5	42	2	0
gRNA-No-19002	0	0	0	0	0	0
gRNA-No-19003	60	65	55	247	97	97
gRNA-No-19005	196	259	140	754	131	148
gRNA-No-19006	0	0	0	0	0	0
gRNA-No-12876	27	35	6	60	19	16
gRNA-No-19008	23	17	11	64	10	9
gRNA-No-19009	0	0	2	8	11	12
gRNA-No-19010	193	258	104	423	56	50
gRNA-No-19011	0	0	0	0	0	0
gRNA-No-19013	42	52	33	220	117	64
gRNA-No-19014	57	64	54	383	128	105
gRNA-No-19016	80	86	46	161	78	65
gRNA-No-19017	32	36	7	46	8	15
gRNA-No-19018	0	0	0	0	0	0
gRNA-No-19020	17	18	20	77	14	7
gRNA-No-19022	0	1	8	69	0	17
gRNA-No-19024	7	3	0	0	22	22
gRNA-No-19026	100	117	51	220	67	72
gRNA-No-12903	100	87	12	101	26	7
gRNA-No-19028	76	77	11	93	101	91
gRNA-No-19030	5	23	25	137	78	55
gRNA-No-19031	199	217	113	463	120	135
gRNA-No-12910	17	42	33	240	52	36
gRNA-No-12912	0	0	0	0	0	0
gRNA-No-19034	13	22	7	32	0	0
gRNA-No-19035	0	1	0	0	0	0
gRNA-No-19036	0	0	0	0	0	0
gRNA-No-19038	17	10	1	27	11	13
gRNA-No-19039	81	66	53	192	64	67
gRNA-No-19040	15	34	4	51	27	17
gRNA-No-19041	89	64	42	175	43	41
gRNA-No-19043	2	1	4	10	37	50
gRNA-No-12936	116	181	37	186	78	59
gRNA-No-19045	188	210	100	468	173	173
gRNA-No-19046	117	123	37	157	41	52
gRNA-No-19047	0	0	0	0	2	3
gRNA-No-19048	18	33	0	2	0	0
gRNA-No-19049	0	0	0	0	0	0
gRNA-No-19050	5	5	1	29	0	0
gRNA-No-19051	1	26	2	25	12	22
gRNA-No-19052	33	69	16	183	21	30
gRNA-No-19053	52	74	17	92	86	48
gRNA-No-19054	0	0	0	0	0	0
gRNA-No-19055	16	14	12	67	11	5
gRNA-No-19056	46	75	56	148	11	16
gRNA-No-19057	0	0	0	0	0	1
gRNA-No-19058	7	6	4	29	30	26
gRNA-No-19059	89	93	59	179	50	56
gRNA-No-19060	9	14	2	60	15	19
gRNA-No-19062	5	12	0	0	6	2
gRNA-No-19063	20	18	9	67	6	23
gRNA-No-19064	0	3	3	2	3	2
gRNA-No-19065	55	69	30	159	71	73
gRNA-No-19066	0	0	0	0	0	0
gRNA-No-19068	163	241	112	382	201	179
gRNA-No-19069	165	290	55	249	218	132
gRNA-No-45902	91	161	101	406	164	144
gRNA-No-19071	59	261	21	253	54	137
gRNA-No-19072	23	50	21	106	29	38
gRNA-No-19073	0	0	0	0	0	1
gRNA-No-19075	0	0	0	0	0	0
gRNA-No-19076	64	79	71	470	95	74
gRNA-No-19077	2	0	0	0	23	12
gRNA-No-19078	81	105	39	174	56	55
gRNA-No-19079	0	0	0	0	0	0
gRNA-No-19086	69	143	46	193	38	106
gRNA-No-19087	75	118	41	199	66	104
gRNA-No-04902	0	0	0	0	0	0
gRNA-No-19089	0	1	0	0	1	3
gRNA-No-19090	38	80	65	305	17	22
gRNA-No-19091	3	22	0	11	0	5
gRNA-No-19092	18	35	2	1	12	13
gRNA-No-19093	55	128	100	640	74	61
gRNA-No-19094	119	151	85	546	159	192
gRNA-No-19095	4	10	2	12	17	17
gRNA-No-19096	39	43	72	308	73	70
gRNA-No-19097	0	0	0	0	0	0
gRNA-No-19099	35	37	23	195	38	47
gRNA-No-19100	300	312	150	775	253	165
gRNA-No-19101	254	212	113	508	252	187
gRNA-No-19102	5	0	3	7	18	17
gRNA-No-19103	11	28	0	0	2	9
gRNA-No-19104	87	128	67	224	118	77
gRNA-No-19105	6	42	11	67	8	47
gRNA-No-19106	5	7	11	51	0	0
gRNA-No-19107	16	6	22	95	50	49
gRNA-No-19108	397	459	224	1333	301	265
gRNA-No-19109	35	44	2	10	2	4
gRNA-No-19110	51	84	14	82	87	58
gRNA-No-19111	17	15	53	183	12	12
gRNA-No-13381	2	11	1	7	0	3
gRNA-No-13383	33	182	19	447	54	179
gRNA-No-13384	33	30	15	43	23	30
gRNA-No-19115	33	47	39	221	53	26
gRNA-No-19116	71	144	40	246	60	35
gRNA-No-26898	5	18	0	0	2	1
gRNA-No-44676	21	18	20	70	30	31
gRNA-No-13395	71	133	56	207	40	40
gRNA-No-19120	32	44	7	85	2	4
gRNA-No-44716	26	66	4	49	16	13
gRNA-No-44741	240	344	147	707	249	301
gRNA-No-19123	18	24	0	0	12	2
gRNA-No-13411	20	17	0	0	8	22
gRNA-No-19127	47	64	18	107	110	80
gRNA-No-19128	18	60	13	96	7	8
gRNA-No-19129	17	23	12	135	3	21
gRNA-No-19130	35	33	3	60	1	0
gRNA-No-19131	67	100	37	157	73	73
gRNA-No-19132	52	107	10	27	17	39
gRNA-No-19134	162	159	63	304	86	102
gRNA-No-19135	0	0	0	0	4	2
gRNA-No-21584	104	123	46	174	130	68
gRNA-No-19137	2	0	1	14	5	6
gRNA-No-19138	7	2	35	167	16	6
gRNA-No-19139	134	160	114	735	108	164
gRNA-No-19140	34	63	33	175	43	24
gRNA-No-19141	24	28	8	45	30	28
gRNA-No-19142	33	51	10	127	42	32
gRNA-No-19143	0	0	0	0	0	0
gRNA-No-19144	0	0	0	0	0	0
gRNA-No-19146	222	405	141	776	254	263
gRNA-No-19147	8	6	4	50	37	33
gRNA-No-19148	0	0	0	0	0	0
gRNA-No-19149	574	871	283	1517	600	479
gRNA-No-19150	48	73	13	89	57	63
gRNA-No-13577	16	24	22	116	25	17
gRNA-No-13578	0	0	0	6	7	11
gRNA-No-19153	0	2	0	4	0	0
gRNA-No-19154	54	103	34	131	92	62
gRNA-No-07169	135	151	69	313	81	74
gRNA-No-19156	0	5	11	102	3	29
gRNA-No-19157	5	18	16	63	14	41
gRNA-No-19158	94	85	8	55	81	65
gRNA-No-19159	0	0	0	0	0	4
gRNA-No-07234	0	0	0	0	3	4
gRNA-No-19161	125	157	55	181	157	141
gRNA-No-19162	9	12	19	213	13	22
gRNA-No-13619	277	251	120	648	248	229
gRNA-No-36005	172	303	110	481	212	201
gRNA-No-36007	1	0	0	7	0	1
gRNA-No-19166	25	23	20	130	16	24
gRNA-No-19167	21	19	12	112	39	31
gRNA-No-36028	34	27	24	89	38	25
gRNA-No-36040	8	14	1	0	10	14
gRNA-No-19170	0	0	2	62	28	25
gRNA-No-19171	0	0	18	58	1	4
gRNA-No-19172	427	591	119	607	266	290
gRNA-No-19173	133	168	86	488	154	161
gRNA-No-19174	47	51	10	58	18	19
gRNA-No-19175	8	11	29	67	11	8
gRNA-No-45934	57	36	40	249	105	138
gRNA-No-19177	51	74	0	153	2	34
gRNA-No-45935	1	0	0	3	0	3
gRNA-No-12827	166	161	33	259	83	61
gRNA-No-13422	27	85	28	172	16	86
gRNA-No-19180	0	0	0	0	0	0
gRNA-No-19181	21	42	20	96	27	10
gRNA-No-19182	7	10	6	21	0	0
gRNA-No-19183	5	10	19	131	23	25
gRNA-No-19185	0	0	0	0	0	0
gRNA-No-19186	35	58	3	37	1	3
gRNA-No-19187	0	0	0	0	0	0
gRNA-No-19188	13	13	10	60	18	15
gRNA-No-19189	154	127	54	264	80	82
gRNA-No-19191	0	0	0	0	0	0
gRNA-No-19192	65	247	30	277	72	127
gRNA-No-19193	6	40	12	117	22	24
gRNA-No-19194	1	3	5	39	19	17
gRNA-No-19195	37	21	0	3	6	4
gRNA-No-19197	15	28	2	24	0	6
gRNA-No-19198	7	17	8	53	62	68
gRNA-No-19199	0	0	0	0	0	0
gRNA-No-19200	0	0	0	0	0	0
gRNA-No-19201	0	0	0	0	0	0
gRNA-No-19202	4	2	3	29	0	0
gRNA-No-19203	371	510	92	555	230	160
gRNA-No-19204	205	230	51	227	221	212
gRNA-No-19205	88	177	48	313	75	141
gRNA-No-19206	0	0	0	0	0	0
gRNA-No-19207	83	81	62	304	58	35
gRNA-No-19208	53	70	50	249	119	97
gRNA-No-19209	5	5	17	65	17	24
